"","iso2c","country","GDP_per_capita","year","iso3c","region","income","lending","SIDS","label"
"38","AE","United Arab Emirates",57390.7130793677,2012,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2012)"
"39","AE","United Arab Emirates",56123.4861570182,2011,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2011)"
"40","AE","United Arab Emirates",54921.8398136707,2010,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2010)"
"41","AE","United Arab Emirates",58374.5858440028,2009,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2009)"
"42","AE","United Arab Emirates",68798.4085604423,2008,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2008)"
"43","AE","United Arab Emirates",76620.414429431,2007,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2007)"
"44","AE","United Arab Emirates",86425.8646063394,2006,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2006)"
"45","AE","United Arab Emirates",90894.839378841,2005,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2005)"
"46","AE","United Arab Emirates",97758.0233454776,2004,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2004)"
"47","AE","United Arab Emirates",97795.0008584932,2003,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2003)"
"48","AE","United Arab Emirates",95908.9248008444,2002,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2002)"
"49","AE","United Arab Emirates",98621.6259696546,2001,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2001)"
"50","AE","United Arab Emirates",102494.878140927,2000,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2000)"
"51","AE","United Arab Emirates",97698.3726997213,1999,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1999)"
"52","AE","United Arab Emirates",100100.43565772,1998,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1998)"
"53","AE","United Arab Emirates",105108.956918658,1997,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1997)"
"54","AE","United Arab Emirates",102211.437570572,1996,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1996)"
"55","AE","United Arab Emirates",101571.370611508,1995,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1995)"
"56","AE","United Arab Emirates",100212.8068054,1994,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1994)"
"57","AE","United Arab Emirates",98978.2924287643,1993,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1993)"
"58","AE","United Arab Emirates",103470.97497898,1992,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1992)"
"59","AE","United Arab Emirates",106103.881292928,1991,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1991)"
"60","AE","United Arab Emirates",111454.36044583,1990,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1990)"
"61","AF","Afghanistan",2202.27848949912,2019,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2019)"
"62","AF","Afghanistan",2190.24032132044,2018,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2018)"
"63","AF","Afghanistan",2202.5708512665,2017,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2017)"
"64","AF","Afghanistan",2200.76448734821,2016,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2016)"
"65","AF","Afghanistan",2212.75089885175,2015,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2015)"
"66","AF","Afghanistan",2249.25373797742,2014,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2014)"
"67","AF","Afghanistan",2264.3175752325,2013,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2013)"
"68","AF","Afghanistan",2220.48152554463,2012,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2012)"
"69","AF","Afghanistan",2037.60860700679,2011,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2011)"
"70","AF","Afghanistan",2093.74356474335,2010,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2010)"
"71","AF","Afghanistan",1881.77762573479,2009,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2009)"
"72","AF","Afghanistan",1587.79206964143,2008,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2008)"
"73","AF","Afghanistan",1562.8765157744,2007,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2007)"
"74","AF","Afghanistan",1407.70804076547,2006,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2006)"
"75","AF","Afghanistan",1376.68637625196,2005,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2005)"
"76","AF","Afghanistan",1284.12733787726,2004,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2004)"
"77","AF","Afghanistan",1322.14132753971,2003,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2003)"
"78","AF","Afghanistan",1272.90091353162,2002,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2002)"
"79","AF","Afghanistan",NA,2001,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2001)"
"80","AF","Afghanistan",NA,2000,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2000)"
"81","AF","Afghanistan",NA,1999,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1999)"
"82","AF","Afghanistan",NA,1998,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1998)"
"83","AF","Afghanistan",NA,1997,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1997)"
"84","AF","Afghanistan",NA,1996,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1996)"
"85","AF","Afghanistan",NA,1995,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1995)"
"86","AF","Afghanistan",NA,1994,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1994)"
"87","AF","Afghanistan",NA,1993,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1993)"
"88","AF","Afghanistan",NA,1992,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1992)"
"89","AF","Afghanistan",NA,1991,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1991)"
"90","AF","Afghanistan",NA,1990,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1990)"
"91","AG","Antigua and Barbuda",21908.4585035162,2019,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2019)"
"92","AG","Antigua and Barbuda",21115.7982687308,2018,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2018)"
"93","AG","Antigua and Barbuda",19840.0761229321,2017,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2017)"
"94","AG","Antigua and Barbuda",19417.9648194984,2016,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2016)"
"95","AG","Antigua and Barbuda",18595.0849042657,2015,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2015)"
"96","AG","Antigua and Barbuda",18104.2414700004,2014,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2014)"
"97","AG","Antigua and Barbuda",17641.5425333279,2013,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2013)"
"98","AG","Antigua and Barbuda",17965.5023271233,2012,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2012)"
"99","AG","Antigua and Barbuda",17604.4171016288,2011,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2011)"
"100","AG","Antigua and Barbuda",18205.9853689337,2010,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2010)"
"101","AG","Antigua and Barbuda",19989.0929126679,2009,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2009)"
"102","AG","Antigua and Barbuda",23101.9314868622,2008,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2008)"
"103","AG","Antigua and Barbuda",23485.948423444,2007,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2007)"
"104","AG","Antigua and Barbuda",21839.1828643766,2006,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2006)"
"105","AG","Antigua and Barbuda",19667.9040474994,2005,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2005)"
"106","AG","Antigua and Barbuda",18742.4637405091,2004,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2004)"
"107","AG","Antigua and Barbuda",17957.2127858456,2003,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2003)"
"108","AG","Antigua and Barbuda",17148.8510869382,2002,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2002)"
"109","AG","Antigua and Barbuda",17213.1067366841,2001,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2001)"
"110","AG","Antigua and Barbuda",18395.2437845233,2000,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2000)"
"111","AG","Antigua and Barbuda",17551.3423590772,1999,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1999)"
"112","AG","Antigua and Barbuda",17258.9545908508,1998,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1998)"
"113","AG","Antigua and Barbuda",16828.6005058726,1997,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1997)"
"114","AG","Antigua and Barbuda",16303.7584974753,1996,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1996)"
"115","AG","Antigua and Barbuda",15628.3776268762,1995,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1995)"
"116","AG","Antigua and Barbuda",16697.2117779723,1994,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1994)"
"117","AG","Antigua and Barbuda",15991.8055144048,1993,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1993)"
"118","AG","Antigua and Barbuda",15497.4764026974,1992,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1992)"
"119","AG","Antigua and Barbuda",15586.930844281,1991,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1991)"
"120","AG","Antigua and Barbuda",15459.5414666939,1990,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1990)"
"121","AL","Albania",13961.7965978885,2019,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2019)"
"122","AL","Albania",13601.3033805754,2018,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2018)"
"123","AL","Albania",13037.0100155002,2017,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2017)"
"124","AL","Albania",12547.928084194,2016,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2016)"
"125","AL","Albania",12125.9314807437,2015,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2015)"
"126","AL","Albania",11828.232263813,2014,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2014)"
"127","AL","Albania",11597.9632735891,2013,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2013)"
"128","AL","Albania",11461.8872997991,2012,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2012)"
"129","AL","Albania",11283.0335627206,2011,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2011)"
"130","AL","Albania",10973.412375823,2010,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2010)"
"131","AL","Albania",10528.7781022196,2009,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2009)"
"132","AL","Albania",10119.06831027,2008,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2008)"
"133","AL","Albania",9341.13520744122,2007,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2007)"
"134","AL","Albania",8747.69780961595,2006,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2006)"
"135","AL","Albania",8208.38002264685,2005,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2005)"
"136","AL","Albania",7738.54283618405,2004,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2004)"
"137","AL","Albania",7303.82771503569,2003,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2003)"
"138","AL","Albania",6895.24122204126,2002,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2002)"
"139","AL","Albania",6576.04511271096,2001,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2001)"
"140","AL","Albania",6015.89744428744,2000,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2000)"
"141","AL","Albania",5589.2235829959,1999,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1999)"
"142","AL","Albania",4919.7812509814,1998,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1998)"
"143","AL","Albania",4492.24722801312,1997,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1997)"
"144","AL","Albania",5011.49331092049,1996,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1996)"
"145","AL","Albania",4565.02559578827,1995,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1995)"
"146","AL","Albania",4003.54814868956,1994,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1994)"
"147","AL","Albania",3673.99917919553,1993,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1993)"
"148","AL","Albania",3333.03172181427,1992,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1992)"
"149","AL","Albania",3569.41827511617,1991,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1991)"
"150","AL","Albania",4927.87741249129,1990,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1990)"
"151","AM","Armenia",13653.7495326269,2019,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2019)"
"152","AM","Armenia",12714.9581875586,2018,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2018)"
"153","AM","Armenia",12115.0570089389,2017,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2017)"
"154","AM","Armenia",11303.0716996176,2016,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2016)"
"155","AM","Armenia",11321.3557593842,2015,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2015)"
"156","AM","Armenia",11019.8387849338,2014,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2014)"
"157","AM","Armenia",10691.3099550604,2013,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2013)"
"158","AM","Armenia",10397.6907067814,2012,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2012)"
"159","AM","Armenia",9725.27146799164,2011,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2011)"
"160","AM","Armenia",9286.18119017227,2010,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2010)"
"161","AM","Armenia",9052.38981805574,2009,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2009)"
"162","AM","Armenia",10467.5190134887,2008,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2008)"
"163","AM","Armenia",9708.40546575455,2007,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2007)"
"164","AM","Armenia",8464.46855842231,2006,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2006)"
"165","AM","Armenia",7419.85376845739,2005,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2005)"
"166","AM","Armenia",6472.13121424319,2004,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2004)"
"167","AM","Armenia",5823.72767080805,2003,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2003)"
"168","AM","Armenia",5081.51520817243,2002,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2002)"
"169","AM","Armenia",4464.38436771359,2001,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2001)"
"170","AM","Armenia",4048.2578169444,2000,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2000)"
"171","AM","Armenia",3798.67129093073,1999,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1999)"
"172","AM","Armenia",3654.05767007495,1998,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1998)"
"173","AM","Armenia",3378.93580292384,1997,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1997)"
"174","AM","Armenia",3234.06145484876,1996,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1996)"
"175","AM","Armenia",3008.23425566322,1995,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1995)"
"176","AM","Armenia",2757.22929088255,1994,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1994)"
"177","AM","Armenia",2554.17444555965,1993,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1993)"
"178","AM","Armenia",2735.7889227028,1992,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1992)"
"179","AM","Armenia",4616.9329997374,1991,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1991)"
"180","AM","Armenia",5180.05095420166,1990,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1990)"
"181","AO","Angola",6653.90767287624,2019,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2019)"
"182","AO","Angola",6933.50930820608,2018,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2018)"
"183","AO","Angola",7310.90173803536,2017,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2017)"
"184","AO","Angola",7568.99722478798,2016,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2016)"
"185","AO","Angola",8036.41409222015,2015,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2015)"
"186","AO","Angola",8239.83207659947,2014,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2014)"
"187","AO","Angola",8140.53120789329,2013,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2013)"
"188","AO","Angola",8036.69028703327,2012,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2012)"
"189","AO","Angola",7675.44843203492,2011,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2011)"
"190","AO","Angola",7692.43691185409,2010,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2010)"
"191","AO","Angola",7610.31042285072,2009,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2009)"
"192","AO","Angola",7830.23304625279,2008,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2008)"
"193","AO","Angola",7309.99030864963,2007,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2007)"
"194","AO","Angola",6652.09713649169,2006,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2006)"
"195","AO","Angola",6183.26187738155,2005,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2005)"
"196","AO","Angola",5568.95913885002,2004,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2004)"
"197","AO","Angola",5195.55290570415,2003,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2003)"
"198","AO","Angola",5218.08724482539,2002,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2002)"
"199","AO","Angola",4746.14207672036,2001,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2001)"
"200","AO","Angola",4707.44155459161,2000,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2000)"
"201","AO","Angola",4720.08877462819,1999,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1999)"
"202","AO","Angola",4771.8769793094,1998,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1998)"
"203","AO","Angola",4707.63082173677,1997,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1997)"
"204","AO","Angola",4531.89087208937,1996,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1996)"
"205","AO","Angola",4121.66871208827,1995,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1995)"
"206","AO","Angola",3701.22837109739,1994,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1994)"
"207","AO","Angola",3772.06074601624,1993,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1993)"
"208","AO","Angola",5125.90229150172,1992,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1992)"
"209","AO","Angola",5625.25426723131,1991,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1991)"
"210","AO","Angola",5758.32098938703,1990,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1990)"
"211","AR","Argentina",22033.9453093203,2019,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2019)"
"212","AR","Argentina",22745.9037844103,2018,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2018)"
"213","AR","Argentina",23562.9188342608,2017,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2017)"
"214","AR","Argentina",23189.7305942385,2016,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2016)"
"215","AR","Argentina",23934.0962820711,2015,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2015)"
"216","AR","Argentina",23550.3053677879,2014,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2014)"
"217","AR","Argentina",24424.3504112585,2013,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2013)"
"218","AR","Argentina",24119.0788063702,2012,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2012)"
"219","AR","Argentina",24647.8451965879,2011,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2011)"
"220","AR","Argentina",23521.4762303945,2010,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2010)"
"221","AR","Argentina",21520.0810753219,2009,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2009)"
"222","AR","Argentina",23103.6583401892,2008,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2008)"
"223","AR","Argentina",22424.3186931208,2007,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2007)"
"224","AR","Argentina",20777.8336728194,2006,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2006)"
"225","AR","Argentina",19426.6068300837,2005,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2005)"
"226","AR","Argentina",18032.7684630281,2004,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2004)"
"227","AR","Argentina",16714.8156823728,2003,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2003)"
"228","AR","Argentina",15523.1722923224,2002,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2002)"
"229","AR","Argentina",17610.9058836486,2001,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2001)"
