"","iso2c","country","GDP_per_capita","year","iso3c","region","income","lending","SIDS","label","wbl_index"
"104","AG","Antigua and Barbuda",21839.1828643766,2006,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2006)",66.3
"105","AG","Antigua and Barbuda",19667.9040474994,2005,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2005)",66.3
"106","AG","Antigua and Barbuda",18742.4637405091,2004,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2004)",66.3
"107","AG","Antigua and Barbuda",17957.2127858456,2003,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2003)",66.3
"108","AG","Antigua and Barbuda",17148.8510869382,2002,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2002)",66.3
"109","AG","Antigua and Barbuda",17213.1067366841,2001,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2001)",66.3
"110","AG","Antigua and Barbuda",18395.2437845233,2000,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2000)",66.3
"111","AG","Antigua and Barbuda",17551.3423590772,1999,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1999)",63.8
"112","AG","Antigua and Barbuda",17258.9545908508,1998,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1998)",63.8
"113","AG","Antigua and Barbuda",16828.6005058726,1997,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1997)",63.8
"114","AG","Antigua and Barbuda",16303.7584974753,1996,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1996)",63.8
"115","AG","Antigua and Barbuda",15628.3776268762,1995,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1995)",63.8
"116","AG","Antigua and Barbuda",16697.2117779723,1994,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1994)",63.8
"117","AG","Antigua and Barbuda",15991.8055144048,1993,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1993)",63.8
"118","AG","Antigua and Barbuda",15497.4764026974,1992,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1992)",63.8
"119","AG","Antigua and Barbuda",15586.930844281,1991,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1991)",63.8
"120","AG","Antigua and Barbuda",15459.5414666939,1990,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 1990)",63.8
"121","AL","Albania",13961.7965978885,2019,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2019)",91.3
"122","AL","Albania",13601.3033805754,2018,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2018)",91.3
"123","AL","Albania",13037.0100155002,2017,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2017)",91.3
"124","AL","Albania",12547.928084194,2016,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2016)",85.6
"125","AL","Albania",12125.9314807437,2015,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2015)",85.6
"126","AL","Albania",11828.232263813,2014,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2014)",85.6
"127","AL","Albania",11597.9632735891,2013,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2013)",85.6
"128","AL","Albania",11461.8872997991,2012,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2012)",85.6
"129","AL","Albania",11283.0335627206,2011,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2011)",85.6
"130","AL","Albania",10973.412375823,2010,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2010)",82.5
"131","AL","Albania",10528.7781022196,2009,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2009)",82.5
"132","AL","Albania",10119.06831027,2008,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2008)",82.5
"133","AL","Albania",9341.13520744122,2007,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2007)",80
"134","AL","Albania",8747.69780961595,2006,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2006)",80
"135","AL","Albania",8208.38002264685,2005,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2005)",80
"136","AL","Albania",7738.54283618405,2004,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2004)",80
"137","AL","Albania",7303.82771503569,2003,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2003)",80
"138","AL","Albania",6895.24122204126,2002,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2002)",80
"139","AL","Albania",6576.04511271096,2001,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2001)",80
"140","AL","Albania",6015.89744428744,2000,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 2000)",80
"141","AL","Albania",5589.2235829959,1999,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1999)",80
"142","AL","Albania",4919.7812509814,1998,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1998)",80
"143","AL","Albania",4492.24722801312,1997,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1997)",80
"144","AL","Albania",5011.49331092049,1996,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1996)",65
"145","AL","Albania",4565.02559578827,1995,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1995)",65
"146","AL","Albania",4003.54814868956,1994,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1994)",65
"147","AL","Albania",3673.99917919553,1993,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1993)",59.4
"148","AL","Albania",3333.03172181427,1992,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1992)",59.4
"149","AL","Albania",3569.41827511617,1991,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1991)",59.4
"150","AL","Albania",4927.87741249129,1990,"ALB","Europe & Central Asia","High income","IBRD","Others","(ALB, 1990)",59.4
"151","AM","Armenia",13653.7495326269,2019,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2019)",82.5
"152","AM","Armenia",12714.9581875586,2018,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2018)",80
"153","AM","Armenia",12115.0570089389,2017,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2017)",80
"154","AM","Armenia",11303.0716996176,2016,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2016)",80
"155","AM","Armenia",11321.3557593842,2015,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2015)",80
"156","AM","Armenia",11019.8387849338,2014,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2014)",80
"157","AM","Armenia",10691.3099550604,2013,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2013)",80
"158","AM","Armenia",10397.6907067814,2012,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2012)",80
"159","AM","Armenia",9725.27146799164,2011,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2011)",76.9
"160","AM","Armenia",9286.18119017227,2010,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2010)",76.9
"161","AM","Armenia",9052.38981805574,2009,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2009)",76.9
"162","AM","Armenia",10467.5190134887,2008,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2008)",76.9
"163","AM","Armenia",9708.40546575455,2007,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2007)",76.9
"164","AM","Armenia",8464.46855842231,2006,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2006)",76.9
"165","AM","Armenia",7419.85376845739,2005,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2005)",61.9
"166","AM","Armenia",6472.13121424319,2004,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2004)",61.9
"167","AM","Armenia",5823.72767080805,2003,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2003)",58.8
"168","AM","Armenia",5081.51520817243,2002,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2002)",58.8
"169","AM","Armenia",4464.38436771359,2001,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2001)",58.8
"170","AM","Armenia",4048.2578169444,2000,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 2000)",58.8
"171","AM","Armenia",3798.67129093073,1999,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1999)",58.8
"172","AM","Armenia",3654.05767007495,1998,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1998)",58.8
"173","AM","Armenia",3378.93580292384,1997,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1997)",58.8
"174","AM","Armenia",3234.06145484876,1996,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1996)",55.6
"175","AM","Armenia",3008.23425566322,1995,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1995)",55.6
"176","AM","Armenia",2757.22929088255,1994,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1994)",55.6
"177","AM","Armenia",2554.17444555965,1993,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1993)",55.6
"178","AM","Armenia",2735.7889227028,1992,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1992)",55.6
"179","AM","Armenia",4616.9329997374,1991,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1991)",55.6
"180","AM","Armenia",5180.05095420166,1990,"ARM","Europe & Central Asia","High income","IBRD","Others","(ARM, 1990)",55.6
"181","AO","Angola",6653.90767287624,2019,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2019)",73.1
"182","AO","Angola",6933.50930820608,2018,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2018)",73.1
"183","AO","Angola",7310.90173803536,2017,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2017)",70
"184","AO","Angola",7568.99722478798,2016,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2016)",67.5
"185","AO","Angola",8036.41409222015,2015,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2015)",67.5
"186","AO","Angola",8239.83207659947,2014,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2014)",67.5
"187","AO","Angola",8140.53120789329,2013,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2013)",67.5
"188","AO","Angola",8036.69028703327,2012,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2012)",65
"189","AO","Angola",7675.44843203492,2011,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2011)",65
"190","AO","Angola",7692.43691185409,2010,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2010)",65
"191","AO","Angola",7610.31042285072,2009,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2009)",65
"192","AO","Angola",7830.23304625279,2008,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2008)",62.5
"193","AO","Angola",7309.99030864963,2007,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2007)",62.5
"194","AO","Angola",6652.09713649169,2006,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2006)",62.5
"195","AO","Angola",6183.26187738155,2005,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2005)",62.5
"196","AO","Angola",5568.95913885002,2004,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2004)",62.5
"197","AO","Angola",5195.55290570415,2003,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2003)",62.5
"198","AO","Angola",5218.08724482539,2002,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2002)",62.5
"199","AO","Angola",4746.14207672036,2001,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2001)",62.5
"200","AO","Angola",4707.44155459161,2000,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 2000)",56.3
"201","AO","Angola",4720.08877462819,1999,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1999)",56.3
"202","AO","Angola",4771.8769793094,1998,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1998)",56.3
"203","AO","Angola",4707.63082173677,1997,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1997)",56.3
"204","AO","Angola",4531.89087208937,1996,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1996)",56.3
"205","AO","Angola",4121.66871208827,1995,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1995)",56.3
"206","AO","Angola",3701.22837109739,1994,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1994)",56.3
"207","AO","Angola",3772.06074601624,1993,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1993)",56.3
"208","AO","Angola",5125.90229150172,1992,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1992)",56.3
"209","AO","Angola",5625.25426723131,1991,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1991)",56.3
"210","AO","Angola",5758.32098938703,1990,"AGO","Sub-Saharan Africa","Upper middle income","IBRD","Others","(AGO, 1990)",56.3
"211","AR","Argentina",22033.9453093203,2019,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2019)",76.3
"212","AR","Argentina",22745.9037844103,2018,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2018)",73.1
"213","AR","Argentina",23562.9188342608,2017,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2017)",73.1
"214","AR","Argentina",23189.7305942385,2016,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2016)",73.1
"215","AR","Argentina",23934.0962820711,2015,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2015)",73.1
"216","AR","Argentina",23550.3053677879,2014,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2014)",73.1
"217","AR","Argentina",24424.3504112585,2013,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2013)",73.1
"218","AR","Argentina",24119.0788063702,2012,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2012)",73.1
"219","AR","Argentina",24647.8451965879,2011,"ARG","Latin America & Caribbean","High income","IBRD","Others","(ARG, 2011)",73.1
